DateKey,Date,Fiscal Year,Fiscal Quarter,Month,MonthKey,Full Date
20190909,2019-09-09T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 09"
20190910,2019-09-10T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 10"
20190911,2019-09-11T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 11"
20190912,2019-09-12T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 12"
20190913,2019-09-13T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 13"
20190914,2019-09-14T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 14"
20190915,2019-09-15T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 15"
20190916,2019-09-16T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 16"
20190917,2019-09-17T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 17"
20190918,2019-09-18T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 18"
20190919,2019-09-19T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 19"
20190920,2019-09-20T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 20"
20190921,2019-09-21T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 21"
20190922,2019-09-22T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 22"
20190923,2019-09-23T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 23"
20190924,2019-09-24T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 24"
20190925,2019-09-25T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 25"
20190926,2019-09-26T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 26"
20190927,2019-09-27T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 27"
20190928,2019-09-28T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 28"
20190929,2019-09-29T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 29"
20190930,2019-09-30T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 30"
20191001,2019-10-01T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 01"
20191002,2019-10-02T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 02"
20191003,2019-10-03T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 03"
20191004,2019-10-04T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 04"
20191005,2019-10-05T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 05"
20191006,2019-10-06T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 06"
20191007,2019-10-07T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 07"
20191008,2019-10-08T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 08"
20191009,2019-10-09T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 09"
20191010,2019-10-10T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 10"
20191011,2019-10-11T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 11"
20191012,2019-10-12T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 12"
20191013,2019-10-13T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 13"
20191014,2019-10-14T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 14"
20191015,2019-10-15T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 15"
20191016,2019-10-16T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 16"
20191017,2019-10-17T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 17"
20191018,2019-10-18T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 18"
20191019,2019-10-19T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 19"
20191020,2019-10-20T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 20"
20191021,2019-10-21T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 21"
20191022,2019-10-22T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 22"
20191023,2019-10-23T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 23"
20191024,2019-10-24T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 24"
20191025,2019-10-25T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 25"
20191026,2019-10-26T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 26"
20191027,2019-10-27T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 27"
20191028,2019-10-28T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 28"
20191029,2019-10-29T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 29"
20191030,2019-10-30T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 30"
20191031,2019-10-31T00:00:00,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 31"
20191101,2019-11-01T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 01"
20191102,2019-11-02T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 02"
20191103,2019-11-03T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 03"
20191104,2019-11-04T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 04"
20191105,2019-11-05T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 05"
20191106,2019-11-06T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 06"
20191107,2019-11-07T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 07"
20191108,2019-11-08T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 08"
20191109,2019-11-09T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 09"
20191110,2019-11-10T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 10"
20191111,2019-11-11T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 11"
20191112,2019-11-12T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 12"
20191113,2019-11-13T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 13"
20191114,2019-11-14T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 14"
20191115,2019-11-15T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 15"
20191116,2019-11-16T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 16"
20191117,2019-11-17T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 17"
20191118,2019-11-18T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 18"
20191119,2019-11-19T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 19"
20191120,2019-11-20T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 20"
20191121,2019-11-21T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 21"
20191122,2019-11-22T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 22"
20191123,2019-11-23T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 23"
20191124,2019-11-24T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 24"
20191125,2019-11-25T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 25"
20191126,2019-11-26T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 26"
20191127,2019-11-27T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 27"
20191128,2019-11-28T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 28"
20191129,2019-11-29T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 29"
20191130,2019-11-30T00:00:00,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 30"
20191201,2019-12-01T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 01"
20191202,2019-12-02T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 02"
20191203,2019-12-03T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 03"
20191204,2019-12-04T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 04"
20191205,2019-12-05T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 05"
20191206,2019-12-06T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 06"
20191207,2019-12-07T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 07"
20191208,2019-12-08T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 08"
20191209,2019-12-09T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 09"
20191210,2019-12-10T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 10"
20191211,2019-12-11T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 11"
20191212,2019-12-12T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 12"
20191213,2019-12-13T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 13"
20191214,2019-12-14T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 14"
20191215,2019-12-15T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 15"
20191216,2019-12-16T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 16"
20191217,2019-12-17T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 17"
20191218,2019-12-18T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 18"
20191219,2019-12-19T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 19"
20191220,2019-12-20T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 20"
20191221,2019-12-21T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 21"
20191222,2019-12-22T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 22"
20191223,2019-12-23T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 23"
20191224,2019-12-24T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 24"
20191225,2019-12-25T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 25"
20191226,2019-12-26T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 26"
20191227,2019-12-27T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 27"
20191228,2019-12-28T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 28"
20191229,2019-12-29T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 29"
20191230,2019-12-30T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 30"
20191231,2019-12-31T00:00:00,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 31"
20200101,2020-01-01T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 01"
20200102,2020-01-02T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 02"
20200103,2020-01-03T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 03"
20200104,2020-01-04T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 04"
20200105,2020-01-05T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 05"
20200106,2020-01-06T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 06"
20200107,2020-01-07T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 07"
20200108,2020-01-08T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 08"
20200109,2020-01-09T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 09"
20200110,2020-01-10T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 10"
20200111,2020-01-11T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 11"
20200112,2020-01-12T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 12"
20200113,2020-01-13T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 13"
20200114,2020-01-14T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 14"
20200115,2020-01-15T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 15"
20200116,2020-01-16T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 16"
20200117,2020-01-17T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 17"
20200118,2020-01-18T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 18"
20200119,2020-01-19T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 19"
20200120,2020-01-20T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 20"
20200121,2020-01-21T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 21"
20200122,2020-01-22T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 22"
20200123,2020-01-23T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 23"
20200124,2020-01-24T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 24"
20200125,2020-01-25T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 25"
20200126,2020-01-26T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 26"
20200127,2020-01-27T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 27"
20200128,2020-01-28T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 28"
20200129,2020-01-29T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 29"
20200130,2020-01-30T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 30"
20200131,2020-01-31T00:00:00,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 31"
20200201,2020-02-01T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 01"
20200202,2020-02-02T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 02"
20200203,2020-02-03T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 03"
20200204,2020-02-04T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 04"
20200205,2020-02-05T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 05"
20200206,2020-02-06T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 06"
20200207,2020-02-07T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 07"
20200208,2020-02-08T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 08"
20200209,2020-02-09T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 09"
20200210,2020-02-10T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 10"
20200211,2020-02-11T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 11"
20200212,2020-02-12T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 12"
20200213,2020-02-13T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 13"
20200214,2020-02-14T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 14"
20200215,2020-02-15T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 15"
20200216,2020-02-16T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 16"
20200217,2020-02-17T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 17"
20200218,2020-02-18T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 18"
20200219,2020-02-19T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 19"
20200220,2020-02-20T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 20"
20200221,2020-02-21T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 21"
20200222,2020-02-22T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 22"
20200223,2020-02-23T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 23"
20200224,2020-02-24T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 24"
20200225,2020-02-25T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 25"
20200226,2020-02-26T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 26"
20200227,2020-02-27T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 27"
20200228,2020-02-28T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 28"
20200229,2020-02-29T00:00:00,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 29"
20200301,2020-03-01T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 01"
20200302,2020-03-02T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 02"
20200303,2020-03-03T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 03"
20200304,2020-03-04T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 04"
20200305,2020-03-05T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 05"
20200306,2020-03-06T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 06"
20200307,2020-03-07T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 07"
20200308,2020-03-08T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 08"
20200309,2020-03-09T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 09"
20200310,2020-03-10T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 10"
20200311,2020-03-11T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 11"
20200312,2020-03-12T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 12"
20200313,2020-03-13T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 13"
20200314,2020-03-14T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 14"
20200315,2020-03-15T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 15"
20200316,2020-03-16T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 16"
20200317,2020-03-17T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 17"
20200318,2020-03-18T00:00:00,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 18"
